TipoCredor,ClassificacaoCredor,NacionalOuInternacional,DepositoJudicialCredor,DividaTotalCredor,DividaAdiantadaCredor,PrimeiraParcelaAdiantamentoCredor,SegundaParcelaAdiantamentoCredor,RestantePagoConformePlanoCredor,ModoPagamento,PrecisaAdvogado,TipoProcesso,KitProcesso,ParticipouMediacao,Resultado
2.00,1.00,1.00,0.00,1785.00,1785.00,1607.00,179.00,0.00,2.00,1.00,2.00,4.00,0.00,1
2.00,1.00,1.00,0.00,1004.00,1004.00,904.00,100.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,11413.00,11413.00,10272.00,1141.00,0.00,2.00,1.00,3.00,4.00,0.00,1
2.00,1.00,1.00,0.00,1057.00,1057.00,951.00,106.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,619.00,619.00,557.00,62.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,5227.00,5227.00,4704.00,523.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,7212.00,7212.00,6491.00,721.00,0.00,2.00,0.00,3.00,17.00,0.00,1
2.00,1.00,1.00,0.00,6910.00,6910.00,6219.00,691.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,6800.00,6800.00,6120.00,680.00,0.00,2.00,1.00,2.00,19.00,0.00,0
2.00,1.00,1.00,0.00,1534.00,1534.00,1381.00,153.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,123.00,123.00,111.00,12.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,3404.00,3404.00,3064.00,340.00,0.00,2.00,0.00,3.00,21.00,0.00,0
2.00,1.00,1.00,0.00,1228.00,1228.00,1105.00,123.00,0.00,2.00,1.00,2.00,19.00,0.00,0
2.00,1.00,1.00,0.00,8249.00,8249.00,7424.00,825.00,0.00,2.00,0.00,3.00,8.00,0.00,1
2.00,1.00,1.00,0.00,500.00,500.00,450.00,50.00,0.00,2.00,0.00,2.00,17.00,0.00,1
2.00,1.00,1.00,0.00,3229.00,3229.00,2906.00,323.00,0.00,2.00,0.00,2.00,17.00,0.00,1
2.00,1.00,1.00,0.00,5713.00,5713.00,5142.00,571.00,0.00,2.00,1.00,4.00,22.00,1.00,1
2.00,1.00,1.00,0.00,5713.00,5713.00,5142.00,571.00,0.00,2.00,1.00,4.00,22.00,1.00,1
2.00,1.00,1.00,0.00,6433.00,6433.00,5790.00,643.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,7102.00,7102.00,6392.00,710.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,3988.00,3988.00,3589.00,399.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,579.00,579.00,521.00,58.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,173153.00,0.00,0.00,0.00,0.00,2.00,1.00,4.00,15.00,0.00,0
